sample_id,text,top_k_words
138,"Jean Rinkel-Quertier (née Quertier; born 12 November 1925), is a female former tennis player from England who was active in the late 1940s and 1950s. Her best performance at a Grand Slam tournament was reaching the semifinal of the doubles event at the 1952 and 1953 Wimbledon Championships. Partnering compatriot Sue Partridge and Helen Fletcher respectively they lost on both occasions in straight sets to the first-seeded team of Shirley Fry and Doris Hart. Her best singles performance in the Grand Slam events was reaching the quarterfinal of the French (1949, 1953), Wimbledon (1948, 1952) and U.S. Championships (1951, 1953). In 1949 and 1950 she played against compatriot Joan Curry in the final of the British Covered Court Championships, played on wooden courts at the Queen's Club  in London, and won the 1950 edition in three sets. In 1949 she was the runner-up at the British Hard Court Championships. Quertier was a member of the British Wightman Cup team in 1947 and from 1949 to 1953. All these editions of the team tennis competition were won by the United States team and Quertier was responsible for the only British match win when she defeated Shirley Fry in 1951 in straight sets. She married Dutch tennis player Ivo Rinkel on 28 February 1952 in Roehampton and the couple had two daughters.","[is, a, ;, jean, female, born, -, who, player, 1925, from, former, ##el, her, november]"
467,"A person (born in the 1950s, in a city in Florida), is an American photographer. This person works and lives in a city in Pennsylvania. Their 2004 monograph, ""PhotoPlay,"" features photographs, collages, and photograms from three decades of work. The book's introduction is by a novelist and editor. A photography curator wrote the book's essay. This person's work has appeared in industry publications, international magazines, and other publications. Their work has been widely exhibited, and they lecture frequently. They formerly taught at a university in Pennsylvania. One of their best-known pieces is the advertisement which first appeared in the 1990s, ""Absolut [This person's Surname]."" The ad was part of the ""Absolut Artists"" series of advertisements for a well-known vodka brand. This person's one-person show, ""The Object Is Art,"" was exhibited in the late 2000s at a museum in New York. Their public art projects include ""Dreams In Transit,"" a large-scale permanent photographic installation at a transit station in New Jersey. This person conceived and edited a book in the mid-2010s, ""EyeBook: Sixty Artists. One Subject."" The book, an anthology, focuses upon the eye in art, and is published by a publisher, of Bologna, Italy.","[this, person, this, this, person, a, person, person, this, works, person, their, in, the, and]"
335,"A person (Date of Birth – Date of Death) was an American anthropologist and United States Ambassador to a West African country. Born in a Caribbean city, this person came to the United States in a mid-20th century year. This person enlisted in the United States Army in a year during World War II and fought in the war, which later allowed them to obtain citizenship. This person earned a bachelor's degree from a university in New York in a year in the early 1950s. They then attended a university in New York, where they earned a master’s degree in a year in the early 1950s and a doctorate in a year in the mid-1950s. This person learned a local language by the Mossi while living in a West African country for two years. This person became a professor at a university in New York in the mid-1950s. A U.S. President appointed them ambassador to the West African country from a year in the mid-1960s to a year in the late 1960s. In a year in the early 1970s, this person became the first African-American department chair at the university as well as the first African American to receive tenure at the University in a year in the early 1960s. They wrote several books on Africa, focusing on U.S. policy there. On a date in April 2007, this person died of heart failure at their home in Washington, D.C. They were in their 80s.","[this, this, this, this, person, person, person, person, a, person, in, born, this, a, city]"
89,"Sir Harold John Boyer Harding (6 January 1900 – 27 March 1986) was a British civil engineer. Harding was educated at Christ's Hospital and the City and Guilds College (part of Imperial College London), interrupting his studies 1918-19 with a one-year period spent as a cadet in the Officers' Training Corps. Following graduation Harding worked for Mowlem where he specialised in tunnelling work for London Underground including the reconstruction of Piccadilly Circus tube station and the expansion of the Central line. In the 1930s he and Mowlem were instrumental in introducing geotechnical processes to the UK. Upon the outbreak of the Second World War, Harding was placed in charge of defence and emergency repair of underground services in London. He built pre-cast concrete petrol barges and eight of the Mulberry Harbour segments used in the Normandy Landings. He was also a founding director of Soil Mechanics Ltd, a subsidiary of Mowlem dedicated to work in geotechnics. After the war Harding was involved with investigations into the feasibility of construction of a Channel Tunnel and sat on the tribunal investigating the Aberfan disaster of 1966. Harding was elected president of the Institution of Civil Engineers, was the founding chairman of the British Tunnelling Society, fellow of the City and Guilds of London Institute and fellow of Imperial College. He was also a founder fellow of the Fellowship of Engineering and governor of three separate academic institutions: Westminster Technical College. Northampton Engineering College, and Imperial College. He received a knighthood in 1968.","[was, a, sir, engineer, british, john, at, civil, harold, march, was, harding, 6, 1986, january]"
255,"A person (born on a date in a place, near a larger city – died on a date at a famous racing circuit) was a racing driver who raced a certain make of car in their two World Championship Formula One Grands Prix. This person initially competed during a decade in a Formula 2 car with a certain type of engine with which they finished in a top position in a race at a location. In a year, this person raced for a team and finished in a top position at the same track. They entered the same car (a specific engine size and cylinder number car of a certain type) in a national Grand Prix but retired after only a few laps with engine failure. The following year, this person raced a car with nothing more than a top position at a location, but again entered the national Grand Prix at a famous circuit in a car of a specific type, but retired due to an engine valve problem. After this, they faded from single-seater racing. Later in their career, this person shared the winning car at a notable annual automobile race. This person was killed racing a certain make of car in the year of a long-duration race at a famous racing circuit.","[this, person, a, this, this, this, person, person, person, person, person, the, in, initially, born]"
427,"A person (born in the late 1980s) is a chess Grandmaster. In the mid-2000s, this individual became one of the youngest Grandmasters in their country. This player is the first from their country to break into the top ranks of FIDE World Rankings and was the highest-rated player from their country, with a peak rating of over 2700, until the mid-2010s, when this record was surpassed. In the late 2000s, the individual became one of the first players from their continent to cross a significant Elo rating milestone. Later in the same year, this person achieved one of the highest rankings ever by a player from their country, setting a new national record. In the early 2010s, this person became one of the top players in the world with a ranking in the top 10. The highest world ranking to date for this individual is within the top 10 with a rating of over 2700. In a major FIDE Grand Prix series, this person was close to qualifying for an important tournament in the World Chess Championship cycle; however, a draw in the final round allowed a competitor to secure the qualifying spot. This person played on the top board for the gold medal-winning team at a major international chess team event.","[this, this, this, person, person, a, person, player, person, this, this, individual, in, this, this]"
18,"Charles Rahmel Jones (born July 17, 1975) is a retired American professional basketball player who played in the NBA. Raised in Bedford–Stuyvesant, Brooklyn, New York, Jones was one of two children of Charles and Cathy Jones and graduated from Bishop Ford Central Catholic High School in 1993. In 1997, Jones estimated to The New York Times that around 15 of his friends from Bedford-Stuyvesant were killed on the streets. He played at The Soul in the Hole in Brooklyn. Jones attended Rutgers University and Long Island University, before spending two seasons in the NBA for the Chicago Bulls (1998–99) and the Los Angeles Clippers (1999–2000). Afterwards, he played overseas, notably in Argentina. While playing for Long Island University, he led the league in scoring twice (1996-97, 1997-98), and he was the last player to average 30 points or more in a season when he averaged 30.1 points per game in the 1996-97 season. (See List of college basketball scoring leaders) He faced a gun charge due to an incident at his dorm.","[a, is, charles, who, ra, born, in, player, retired, american, ##el, in, ##hm, july, jones]"
424,"A person (born on a date in the early 20th century, in a city), is a classical music artist from a country in the Caucasus region. This person graduated from a local Musical School in the city and the National Conservatory of the country. This person further pursued advanced studies in a prestigious Conservatory in a major city under a professor. Then this person returned to their hometown where they lived for several decades before migrating to another country. This person currently resides in a major city on the west coast of the United States. Initially, this person was dedicated to classical music but later expanded their repertoire to include the traditional music of their home country. This person has spent much of their life accompanying some of the most distinguished classical and traditional vocalists of their country, including the founder of the country's professional vocal school; a singer who often represented the country internationally during a past political era; and a well-known pop star from the same era. When asked about the extent of their repertoire, this person readily admits that it is extensive, with a multitude of pieces that they wouldn't know where to start counting.","[this, this, person, person, this, a, this, this, person, person, person, this, in, then, person]"
197,"Judson Donald \""Jud\"" Buechler (born June 19, 1968) is an American retired professional basketball player. He grew up in Poway, California and attended Poway High School, where he was a top basketball recruit as well as a Top-50 men's volleyball prospect. A sharp-shooting 6 ft 6 in guard/forward, Buechler attended the University of Arizona before being selected by the Seattle SuperSonics in the 1990 NBA draft. His draft rights were immediately traded to the New Jersey Nets, and he spent slightly over one season with the Nets before being waived in 1991. After a brief stint with the San Antonio Spurs, he signed with the Golden State Warriors, with whom he averaged 6.2 points, 1.3 assists and 2.8 rebounds (all career highs) during the 1992–93 NBA season. However, Buechler would become best known for his four-year tenure (1994–1998) with the Chicago Bulls. With his former college teammate Steve Kerr, Buechler provided clutch shooting off the bench and played a key role during the Bulls' second three-peat (1996–1998). As the Bulls began their post-Jordan rebuilding process in 1999, Buechler signed with the Detroit Pistons, where he played for three seasons before being traded to the Phoenix Suns. Buechler ended his career with a short stint with the Orlando Magic, and he retired in 2002 with 2,385 total points. Buechler was also an All-American volleyball player at Arizona, earning the nickname \""The Judge\"". His daughter Reilly, whom he has coached, is currently a volleyball player at UCLA.","[is, an, "", ju, player, he, up, donald, in, born, ##d, \, "", ju, ##ler]"
464,"A person (born on a date in the 1950s) is a retired American basketball player who played in the NBA for a period in the late 1970s to the mid-1980s. After playing collegiately at a university in the United States, this person was selected in the first round of the 1977 NBA Draft by a professional basketball team. At a height over 6 feet and a weight over 200 lb, this person played forward and center in the NBA. After spending a rookie season with one team, this person spent the following seasons with another team. In a year in the early 1980s, they were selected by an expansion team in the expansion draft. This person was the only team member who played all games for the team in their inaugural season, finishing second on the team in points and leading the team in rebounds and block shots. This person saw playing time diminish in the following season, averaging just minutes per game in a number of games for the team. This person appeared in only one game that season before suffering a season-ending injury. In a year in the 2000s, this person created a video parody of a political campaign. This person and their partner live in a town in North Carolina, with their two children. Together, they redeveloped an old mill, which is now a music venue, called a name.","[this, person, person, this, a, carolina, this, person, person, this, this, person, saw, person, this]"
333,"A person (born on a date in 1973) is a retired professional basketball player who last played for a major city's team in the NBA. This person was a star player on a high school basketball team. Drafted out of a university by a team in the NBA with a late first-round pick of the 1996 NBA Draft (the pick originally belonged to another team and went to the drafting team in a notable trade), they played several years with the team, becoming one of their key reserves. This person was a fan favorite during their days playing for another NBA team due to their tenacious efforts on the court. On a date in 2001, this person was traded from their team, along with a teammate, to another team in exchange for several players and a future first-round draft pick. They were so enthusiastic about joining the new teammates that they immediately drove from their former city to their new city upon hearing the news. In a season with the new team, this person averaged a career-best scoring average, primarily as a starter. In a year, this person also made a cameo appearance in a Disney Channel Original Movie. In December of a year, they were traded again, this time along with two teammates, to another team for three players. Overall in a season, this person played in a number of games, starting many of them, and averaged a certain number of points and rebounds per game. During an offseason, they were involved in yet another trade, one that sent them and a teammate to another major city's team for several players. Their relocation meant a relegation to the bench, as their minutes dropped down to around a certain number a game. On a date in 2005, this person was waived by the team to avoid luxury taxes on their salary, as part of the NBA's new labor agreement. They announced their retirement from their playing career shortly after. This person played in a significant number of games over several seasons, averaging a certain number of points and rebounds per game. This person joined the NBA's ""Basketball Without Borders"" program, an effort to teach the game and bring resources to underdeveloped nations in various continents. In a Canadian city, they were always greeted with a standing ovation when they returned in another team's uniform. Nicknamed by a former player in their early days for their hard work and hustle (as stated in an interview while they served as a commentator on NBA TV), this person sometimes referred to themselves in the third person. On a date in 2006, this person rejoined a team as their community representative. They also played a minor role in a Canadian FBI show. They played a character, a dealer turned informant. This person was hired as Director of Player Development for a national champion high school basketball team before becoming assistant coach. In a year, they were promoted to the position of Head Coach at the high school. They stepped down as head coach in a year.","[this, person, this, a, this, person, person, in, this, was, person, person, this, a, a]"
133,"Bettina Fulco (born 23 October 1968) is a retired Argentine professional women's tennis player. She reached her highest ranking of No. 23 on October 10, 1988. Fulco began playing tennis at age 10 at the University Club in her hometown of Mar Del Plata, having been inspired to start because of the increased interest in the sport in Argentina due to Guillermo Vilas' success. As a junior, Bettina was among the best in the world, reaching the finals of the Orange Bowl 18-and-under championships in 1986, and finishing second in the rankings in 1986. She turned professional in 1987. Like many South American players, Bettina Fulco was considered a clay court specialist, and reached the quarterfinals of the French Open in 1988. Bettina beat Martina Navratilova in Houston 1994 for her biggest career victory. She also achieved victories over Conchita Martínez, Arantxa Sánchez Vicario, Hana Mandlíková, Katerina Maleeva, Manuela Maleeva, Magdalena Maleeva, Claudia Kohde-Kilsch, Lori McNeil and Nathalie Tauziat. She retired from professional tennis in 1998. Since retiring from tennis, Bettina has taken on the position of director of the School of Tennis at the Club Atletico Kimberley, based in Mar del Plata. She is also a coach, having worked with notable players such as Victoria Azarenka, Kateryna Bondarenko, Angelique Widjaja and Emma Laine. In addition, Bettina was the captain of the Argentina Fed Cup team from 2011 to 2013.","[a, is, ##tina, fu, bet, born, she, ##lco, 1968, no, retired, 23, her, october, player]"
323,"A notable individual from a previous era was a key figure in the design industry, establishing a prominent establishment. This individual is acknowledged by experts as a central figure in the development of exclusive design. Also recognized for transforming the business of design, this figure launched a venue in a prominent city, attracting the elite and influential. As an innovator, they reimagined traditional designs to be more practical, with certain modifications reportedly made for an important patron. This individual pioneered the use of demonstrations to showcase products to patrons, and introduced the concept of signature elements in items; the venue became a hub for client consultations and fittings, making it a focal point for the elite. Towards the latter part of their career, the establishment's workforce grew substantially, and its influence on style was significant. An esteemed cultural institution noted that this individual's proactive approach earned them recognition as a distinguished creator. By a notable period, their influence extended beyond exclusive circles to widely read publications. This figure elevated the craft of creating, setting the standard for the industry. A commentator on history remarked: ""This individual set the trends in a key cultural center long before a contemporary icon did.""","[this, this, this, individual, s, figure, "", a, individual, an, this, is, individual, from, of]"
124,"Ellsworth Young (1866 Albia, Iowa – 1952 Evanston, Illinois) was an American magazine and book illustrator, and a noted painter of landscapes. He worked for the Works Progress Administration (WPA) Collection of the Illinois State Museum, and was employed by the Denver Times and The Chicago Tribune as an editorial illustrator. Ellsworth Young studied at The Art Institute of Chicago with Oliver Dennett Grover and John Vanderpoel. Young, an Illinois artist, was a member of the Chicago Painters and Sculptors and the Oak Park River Forest Art League. He painted several posters for the war effort of World War I, his best-known probably being \""Remember Belgium\"". The Allied Nations made use of images of supposed German atrocities to bolster their propaganda machine. In 2010 Western Illinois University began looking at stored works of art to refurbish, and discovered a rolled-up painting which held “tremendous historical significance.” It was a painting by Young of a river landscape in autumn, and had been commissioned in 1934 to hang in Monroe Hall (later known as Grote Hall) and remaining there for some 60 years until the Hall was demolished in 1991. The painting was sent to the Chicago Conservation Center to be restored.","[was, an, young, el, ##worth, ##ls, magazine, he, american, a, and, and, 1866, illinois, book]"
279,"A person (Date of Birth – Date of Death) was a trainer from the Americas recognized in a prestigious hall of fame for their work with racehorses. This individual was a global trainer who worked across multiple continents. They developed numerous winners in high-level races over a career that started in the latter half of the 20th century and spanned over four decades. Originating from a large city in the Americas to a family involved in racing, this person's relatives were also trainers. They began their career assisting a family member before independently training in the 1940s. They achieved top trainer accolades in their home region in the 1950s and in another country shortly thereafter, then started competing in North America. Settling permanently in North America in the 1960s, they competed nationally and had notable success with a distinguished owner's horse. In the 1970s, this trainer moved to Europe where they became a significant figure in the racing scene there. They won a major European race with a female horse. Contracted by a prominent European racing figure, they secured another win in the same major race in the 1970s with a horse that would later be recognized in a hall of fame, and they received top trainer distinctions in Europe. Besides winning prestigious races in Europe, they also competed successfully in the UK, securing victories in several of its renowned races. Returning to North America in the late 1970s with the European figure's horses, they triumphed in notable North American races. They were subsequently employed by a well-known North American owner, training a top-performing female horse and achieving success in several key races. In the 1980s, this individual was honored with induction into a hall of fame for racing in the United States. They resided in a town in the state of New York until their passing in the 1990s. Their offspring, also a notable trainer in North America, was recognized as Trainer of the Year by a regional breeders' association in the 1990s.","[this, individual, was, a, this, person, a, ##s, who, they, with, in, trainer, for, was]"
136,"James Balfour (1854–1917) was a Canadian architect. Son of Peter Balfour, Hamilton alderman and carpenter. Educated in Hamilton. Studied architecture with the famous firm of Peddie and Kniver in Edinburgh, Scotland. Before returning to Hamilton he worked in New York for several years. First professional mention of Balfour in Hamilton is in the 1876-7 city directory. The house still standing at 250 James Street South was one of his early designs. His larger buildings were of the Romanesque style, revived around 1870 by Henry Hobson Richardson of the United States. Tuckett Mansion, on corner of King & Queen, now forms a portion of the complex known as the Scottish Rite. Completed in 1896 for George Elias Tuckett, founder of Tuckett Tobacco and the 27th mayor of Hamilton, City Hall on corner of James & York Boulevard (1888, demolished), both in Hamilton, Ontario. Balfour was also successful outside of Hamilton. In 1878-1882 designed and oversaw construction of an all-girl school, Alma College (St. Thomas, Ontario) (1878–81) and the additions (1888–89), which were destroyed by a fire on May 28, 2008. In March 1887 he won the design competition for the Detroit Institute of Fine Arts.","[was, a, james, architect, balfour, son, in, 1854, canadian, –, 1917, of, he, educated, peter]"
130,"Hershell Baskin Freeman (July 1, 1928 – January 17, 2004) was an American professional baseball player, a pitcher who appeared in 204 games, all but three in relief, in the Major Leagues over six seasons (1952–53; 1955–58) for the Boston Red Sox, Cincinnati Redlegs and Chicago Cubs. He later became a minor league manager. Born in Gadsden, Alabama, Freeman threw and batted right-handed; he stood 6 feet 3 inches (1.91 m) tall and weighed 220 pounds (100 kg). After attending the University of Alabama, Freeman signed with the Red Sox in 1948, and spent five seasons in their farm system before his recall in September 1952. Even though he had pitched exclusively in relief for the Triple-A Louisville Colonels, Freeman was given a starting assignment in his fourth MLB appearance on September 26, 1952. Facing the Washington Senators at Fenway Park, Freeman hurled a complete game, 3–1 victory, allowing only four Washington hits. It was Freeman's only complete game in the Majors. He failed to stick with the Red Sox, however, spending most of 1953 and all of 1954 with Louisville. After only two appearances in relief for the 1955 Red Sox, he was placed on waivers at the May cutdown and claimed by the Redlegs. When Cincinnati manager Birdie Tebbetts asked Freeman why the Red Sox waived him, Freeman said Boston had not given him the pitching workload he needed to be effective. \""Brother\"", Tebbetts replied, \""you came to the right place.\"" Tebbetts then used Freeman in relief for 54, 64 and 52 games during the seasons of 1955 through 1957, and Freeman responded by compiling a won–lost record of 28–11 with the Redlegs, with 37 saves and an earned run average of 3.33. In 1956, he was second in the National League in games pitched, and led the NL in games finished, as Cincinnati finished a strong third in the standings, only two games behind the pennant-winning Brooklyn Dodgers. Freeman finished 13th in the balloting for NL Most Valuable Player that season. However, his effectiveness diminished in each successive year, and in 1957 he allowed 14 home runs in 83 2⁄3 innings pitched and saw his ERA jump to 4.52. In early 1958, he was swapped to the Cubs for a fellow reliever, Turk Lown, and made only nine appearances with Chicago before being sent to the minor leagues in June. All told, Freeman worked in 359 innings in the Majors, allowing 387 hits and 109 bases on balls. He struck out 158; his 37 career saves all came as a member of the Redlegs. Freeman stayed in baseball as a Cincinnati scout in 1960 and from 1961–63 he managed in the mid- to lower-level minor leagues in the Reds' farm system.","[was, an, who, a, hers, ##hell, player, american, ##kin, appeared, bas, freeman, july, in, professional]"
2,"John Henry Patrick Avison, CM (April 25, 1915 – November 30, 1983) was a Canadian conductor and pianist. From 1938 to 1980, he was the founding conductor of the CBC Vancouver Chamber Orchestra. He was a longtime member of the Vancouver Symphony Orchestra (VSO) and was married to VSO violinist Angelina Avison. In 1978 he was made a Member of the Order of Canada, Canada's highest civilian honour, and in 1980 he was awarded the Canadian Music Council Medal. Born in Vancouver, Avison earned an Associates diploma from the Toronto Conservatory of Music in 1929. During the early 1930s he studied in his native city with J.D.A. Tripp (piano) and Allard de Ridder (conducting). He earned a Bachelor of Arts from the University of British Columbia in 1935 and a Bachelor of Music from the University of Washington in 1936. During World War II he served in the Canadian Army, after which he pursued further music studies at the Juilliard School (1946), Columbia University (1946-1947), and Yale University (1947). At the latter school he was a pupil of Paul Hindemith.","[was, a, john, from, and, henry, pianist, he, canadian, conductor, to, patrick, cm, he, april]"
95,"Robert Hopkins Miller (born September 8, 1927 in Port Angeles, Washington) was a career Foreign Service officer. Educated at Stanford University and Harvard University, he served in Europe, Southeast Asia, and West Africa. His experience in Southeast Asia includes service as First Secretary in the American Embassy in Saigon, Vietnam (1962–65); as Director of the Vietnam Working Group, Department of State (1965–67); as Senior Adviser to the US delegation at the Paris peace talks on Vietnam (1968–71); as Deputy Assistant Secretary of State for East Asian and Pacific Affairs with responsibility for Southeast Asia (1974–77); and as United States Ambassador to Malaysia (1977–80,) and to Côte d'Ivoire (1983–86). He is a member of the American Academy of Diplomacy. Ambassador Miller served as Vice President of the National Defense University from 1986 to 1989. In 1990 he was Diplomat-in-Residence at the George Washington University in Washington, DC.","[was, a, robert, in, miller, officer, born, hopkins, career, at, he, his, september, foreign, washington]"
485,"A person (born in the 1960s) is a practitioner of a Japanese martial art. In the early 1990s, this individual completed a notable endurance challenge supervised by a distinguished martial artist. This person was born in a city in Japan. In their early teens, they were captain of the school's martial arts club. As a teenager, they joined a local martial arts dojo. In their early twenties, they made their debut in a significant tournament. They remained a top competitor in various tournaments, going on to defeat esteemed opponents. This person had a memorable match with a top competitor; however, the opponent was significantly affected after the fight. In the late 20th century, this person won a top award in a national martial arts competition, and shortly after, they achieved a high ranking in a global martial arts tournament. This person is the head instructor of a martial arts dojo. In the late 2000s, this person published a book on martial arts philosophy and another book reflecting on the life of a dedicated martial artist.","[this, this, person, this, person, this, person, a, person, this, this, individual, person, person, in]"
74,"Claude R. \""Shug\"" McGaughey, III  (born January 6, 1951, in Lexington, Kentucky) is an American Hall of Fame thoroughbred horse trainer. McGaughey began working as a trainer in 1979 and to date has won more than 240 graded stakes races. In 1986, he got his big break when Ogden Phipps hired him to train his stable of horses. In 1988, McGaughey won the Eclipse Award for Outstanding Trainer in the United States. Among his many wins, he has captured the Jockey Club Gold Cup and the Travers Stakes three times each and won the 1989 Belmont Stakes with Hall of Fame Champion Easy Goer as well as the 2013 Kentucky Derby with Orb. McGaughey's nine Breeders' Cup victories ranks second to D. Wayne Lukas. Among the other horses he has trained are back-to-back Breeders' Cup Mile winner Lure and Hall of Famer Personal Ensign. McGaughey has accomplished the rare trifecta of training a Breeders' Cup winner, her daughter, and her granddaughter in the troika of Personal Ensign, My Flag and Storm Flag Flying. In 2013 he won his first Kentucky Derby with Orb. In 2004, McGaughey was inducted into the National Museum of Racing and Hall of Fame. At his induction ceremony, he said: \""My deepest debt of gratitude always has been and always will be to the Phipps family\"" -- \""My affiliation with the Phipps family is one of the great highlights of my life. I wouldn't be here without them.\""","[is, an, r, hall, american, claude, of, "", in, \, kentucky, iii, "", january, born]"
222,"Sir John Arthur \""Jack\"" Brabham, AO, OBE (2 April 1926 – 19 May 2014) was an Australian racing driver who was Formula One champion in 1959, 1960, and 1966. He was a founder of the Brabham racing team and race car constructor that bore his name. Brabham was a Royal Australian Air Force flight mechanic and ran a small engineering workshop before he started racing midget cars in 1948. His successes with midgets in Australian and New Zealand road racing events led to his going to the United Kingdom to further his racing career. There he became part of the Cooper Car Company's racing team, building as well as racing cars. He contributed to the design of the mid-engined cars that Cooper introduced to Formula One and the Indianapolis 500, and won the Formula One world championship in 1959 and 1960. In 1962 he established his own Brabham marque with fellow Australian Ron Tauranac, which became the largest manufacturer of customer racing cars in the world in the 1960s. In 1966 Brabham became the first – and still the only – man to win the Formula One world championship driving one of his own cars. He was the last surviving World Champion of the 1950s. Brabham retired to Australia after the 1970 Formula One season, where he bought a farm and maintained business interests, which included the Engine Developments racing engine manufacturer and several garages.","[was, an, who, sir, driver, he, australian, "", april, racing, was, john, 2, a, obe]"
100,"Şahin \""Kaas\"" Yakut (born 8 May 1979 in Iğdır, Turkey) is a Turkish-Dutch kickboxer and mixed martial artist, currently living in Heerhugowaard, Netherlands and training in Gym Alkmaar. He is a member of the It's Showtime Team and is a training partner of Gago Drago and Joerie Mes. He is known for his in-fighter style which puts massive pressure on his opponents, his flashing kicks and above all, his endurance and ambition. He has been involved with several organizations such as SuperLeague, It's Showtime and has taken part in special events like Challenge Private Party. He has a 5 and 1 record in his SuperLeague career and is 17 and 3 with It's Showtime as of 29/05/2010. Yakut has fought some of the best fighters in the world and has achieved victories against world champions such as Perry Ubeda, Jomhod Kiatadisak, Ondřej Hutník and Rayen Simson. His brother Metin \""Pislik\"" Yakut is an MMA fighter.","[is, a, "", -, turkish, sa, turkey, \, ##er, born, and, ##hin, may, in, a]"
230,"Macdonald \""Mac\"" Benson (born June 30, 1930 in Wilmington, Delaware) is a Canadian Horse Racing Hall of Fame trainer. A resident of Woodbridge, Ontario, Benson came to Canada in 1978 to train for E. P. Taylor's renowned Windfields Farm. Since then, horses trained by Benson have won ten Sovereign Awards and four Canadian Classics. Mac Benson embarked on his professional training career in 1958 and began by working for prominent Delaware Thoroughbred owner, William du Pont, Jr. He later would operate a public stable, racing at tracks in Delaware, New Jersey, and Maryland. Among his clients in the early 1970s was another duPont family member, Bayard Sharp, who was a founding director of Delaware Park Racetrack and a former president of The Blood-Horse Inc. magazine. In 1976, Benson was offered a job by the head of operations for Windfields Farm who raced in Canada and the United States, and who maintained breeding operations in Maryland and Ontario. Settling in the Toronto area in 1978, Mac Benson met with instant success as head trainer of the E. P. Taylor racing stable. He remained with Windfields Farm through the death of E. P. Taylor in 1989 and would later train for American George W. Strawbridge, Jr. and Robert J. Costigan of Vancouver, British Columbia. Still active in 2009, at age 76 Mac Benson trained Costigan's filly, Arravale, to 2006 Canadian Horse of the Year honors. In 2002, Mac Benson was inducted in the Canadian Horse Racing Hall of Fame.","[is, "", a, \, mac, "", hall, benson, in, a, born, macdonald, of, \, june]"
3,"Randall Pennington Gumpert (January 23, 1918 – November 25, 2008) was a Major League Baseball pitcher, playing for five different teams throughout his career. He was born in Monocacy, Pennsylvania. His pro career began when he was signed by the Philadelphia Athletics as a free agent before the 1936 season, at the age of 18. Even before that, he threw batting practice for the Athletics in Shibe Park as far back as 1934 before he was signed to the team. He pitched three seasons of relief in Philadelphia before being traded to the New York Yankees in July 1939. Gumpert spent a few years in the minors before deciding to enter military service. He served in World War II as a member of the United States Coast Guard. After finishing his time in the military, he was able to make it to the major league roster for the 1946 season. He played well in his first season as a Yankee, earning an 11–3 record with an earned run average of 2.31. Gumpert played fewer innings the following season, but still received a 4–1 record. He continued being a relief pitcher for part of the 1948 season before he was purchased by the Chicago White Sox. He finished the 1948 season in the starting rotation for the White Sox. He spent the 1949 season in the starting rotation as well, and managed to keep his spot throughout the year despite allowing the most home runs in the American League. It was also the one season where Gumpert pitched over 200 innings, pitching 234, and the season where he pitched the most complete games and shutouts, with 18 and 3, respectively. The 1950 season saw Randy split time between the starting rotation and the bullpen. On May 1, 1951, Gumpert became part of baseball history as he allowed Mickey Mantle's first home run. 1951 also saw Gumpert make his only all-star appearance, in which he did not pitch. On November 13, 1951, Gumpert was traded along with Don Lenhardt to the Boston Red Sox for Mel Hoderlein and Chuck Stobbs. After playing 10 games for the Red Sox, he was traded again, this time to the Washington Senators with Walt Masterson for Sid Hudson. After spending the rest of the season in Washington, both in the rotation and the bullpen, Gumpert retired. He later became a scout for the New York Yankees.","[was, a, ##t, penn, major, randall, for, he, pitcher, league, january, ##ington, 1918, 2008, playing]"
229,"Andrei Gennadyevich Kirilenko (born February 18, 1981) is a Russian-American former professional basketball player, currently the commissioner of the Russian Basketball Federation. At age fifteen, Kirilenko began playing professional basketball in the Russian Basketball Super League. He spent three years with CSKA Moscow from 1998 to 2001, winning the Russian league MVP award in 2000. In 2001, Kirilenko joined the Utah Jazz, who drafted him twenty-fourth overall in 1999. He became the first Russian player selected in the first round of a draft and the youngest European player drafted. He made the NBA All-Rookie First Team after his first season, was an NBA All-Defensive Team pick three times and played in the 2004 All-Star Game. During the 2011 NBA lockout, Kirilenko spent another year with CSKA Moscow, leading them to the 2012 Euroleague Final. The same year, he was named the competition's Most Valuable Player, earned an All-EuroLeague first team selection and won the EuroLeague Best Defender award. Since the 2000 Summer Olympics, Kirilenko has been a regular member of the Russian national team. With Russia, he won the EuroBasket title in 2007, earning MVP honors in the process. In 2011, he won his second EuroBasket medal, this time the bronze. He was selected to the All-Tournament Team on both occasions. Kirilenko was named FIBA Europe Men's Player of the Year twice, and won a Euroscar Player of the Year award in 2012. Kirilenko is nicknamed \""AK-47\"", in reference to both his initials, jersey number, and the AK-47 rifle. Coincidentally, Kirilenko was born in the city of Izhevsk, in the former Soviet Union (now Russia), where the weapon was first manufactured. In January 2011, he became an American citizen.","[is, a, -, gen, the, currently, andrei, russian, player, born, ##nad, american, february, ##ich, 1981]"
