Attack Index,Bracketed Words,Original Text (Cleaned)
36,"[Edgar, Laurence, Gray, 1906, August, 1996, Australian, track, cyclist, Gray, Goulburn, Wales, He, Dunc', dates, called, Dunc', later, Duncan', competitive, cycling, From, 1926, Australian, titles, Wales, titles, eight, occasions, NSW, trial, winner, He, medal, trial, 1928, Australia's, first, Olympic, Games, medal, cycling, At, Summer, Australia's, first, cycling, He, represented, Australia, Sydney, Australia, In, Gray, lived, movement, Melbourne's, 1996, Sydney's, The, Dunc, Sydney's, Sydney, The, bike, Gray, bicycles, manufactured, Australia, 1901, In, 1985, Gray, inducted, Sport, In, 2015, inaugural, Cycling]","Edgar Laurence \""Dunc\"" Gray (17 July 1906 – 30 August 1996) was an Australian track cyclist and Olympian. Gray was born in Goulburn, New South Wales. He was called 'Dunc', which dates back to school where he was called 'Dunc' and this was later was extended to 'Duncan'. He started competitive cycling with Goulburn Amateur Cycling Club around 1925. From 1926 to 1941 he won 20 Australian titles, 36 New South Wales titles, and 36 club championships. On eight occasions he was the NSW 1000m time trial and/or the 1000m sprint winner. He won a bronze medal for the 1000m time trial at the 1928 Summer Olympics in Amsterdam. This was Australia's first Olympic Games medal in cycling. At the 1932 Summer Olympics in Los Angeles he won Australia's first cycling gold in the same event, in world record time of 1m 13s. He represented Australia at the 1934 British Empire Games and won the 1000m time trial. At the 1938 British Empire Games in Sydney, he won the 1000m sprint. He was the flag-bearer for Australia at the 1936 Summer Olympics in Berlin and at the 1938 British Empire Games. In his last years, Gray lived in Kiama and supported the Olympic movement, including Melbourne's bid for the 1996 Summer Olympics and then Sydney's successful bid for the 2000 Summer Olympics. The Dunc Gray Velodrome at Bass Hill, in Sydney's western suburbs, was built for the 2000 Summer Olympics in Sydney and named after him. The Speedwell bike that Gray rode at the 1932 Summer Olympics is at the Dunc Gray velodrome. Speedwell bicycles were manufactured by Charles Bennett, a former Intercolonial Champion of Australia, who raced pennyfathings before Federation in 1901. In 1985, Gray was inducted into the Sport Australia Hall of Fame. In 2015, he was an inaugural Cycling Australia Hall of Fame inductee."
39,"[Wang, Yue, born, March, 1987, Chinese, chess, 17, China's, top, FIDE, World, highest-ever, rated, Chinese, peak, rating, 2756, August, 2015, Ding, Liren, Chinese, Jiangchuan, Aronian, Wang, Yue]","Wang Yue (born 31 March 1987) is a Chinese chess Grandmaster. In 2004, he became China's 18th Grandmaster at the age of 17. He is China's first player ever to break into the top 10 of FIDE World Rankings and was the highest-ever rated Chinese player, with a peak rating of 2756, until August 2015, when this record was broken by Ding Liren. In October 2007, Wang became the first Chinese player and third Asian player to cross the 2700 Elo rating mark. In October 2008, he became the World No. 11, the highest ranking a Chinese player has ever achieved, surpassing the previous record of 17th by Ye Jiangchuan set in 2000. In January 2010, he became the first Chinese world top-ten player with a world ranking of 9. His highest world ranking to date is No. 8 in the May 2010 rating list with a rating of 2752. In the FIDE Grand Prix 2008–2010, he was a last round victory over Teimour Radjabov away from joining Levon Aronian as an automatic qualifier for the Candidates Tournament of the World Chess Championship 2012 cycle; however, Radjabov secured a draw which allowed him to win the final qualifying position. Wang Yue was the top board of the gold medal-winning Chinese team at the 2014 Chess Olympiad."
41,"[A, 2, This, This, began, first, season, one-year, city, first-team, The, missed, promotion, national, cup, final, major, stadium, May, This, side, top, league, city, season, club, joined, another]","A person (born 2 September 1978) is a former footballer and currently is a player coach with a regional football club. This person has made over 450 first-team appearances, almost all in a national football league. This person began their career with a major football club in 1995, and progressed through the club's recognised youth academy. They played one game for the first club in the top national league, as a substitute during the latter stages of a season in the late 1990s. They were sent out on loan to a local club in the late 1990s, and was released on return to their parent club in the following year. They had brief spells with a club in Sweden and with another regional club, before rejoining the local club on a permanent basis in 2000. They left the club in November 2000, and had brief spells with two other regional clubs during the final months of the 2000–01 season. Ahead of the 2001–02 season, the person joined another regional club, where they were hugely successful; playing over 200 games and scoring a significant number of goals for the club during their five-year tenure with the side. When the club resigned from the league in 2006, they joined another regional club on a one-year contract, but was later loaned to another city club after struggling for first-team appearances. The person joined another club on a free transfer shortly before the 2007–08 season, as the club narrowly missed out on promotion to the top league in May 2008. They joined another club for an undisclosed fee in June 2008, scoring in a national cup final at a major stadium in May 2009. This person was also part of the side that won promotion to the top league the following season. They were released by the club in January 2011, and subsequently re-joined the city club in March of the same year. After just a few appearances for the club, the person joined another club for the rest of the 2010–11 season. They spent a further season at the club, before leaving following their relegation. In July 2012, the person joined another club. Mid-way through the 2012–13 season, they joined divisional rivals."
43,"[Sina, Samadi, better, known, stage, name, Sean, name, Swedish, comedian, musician, Iranian, family, immigrated, Sweden, years, resided, Gothenburg, Banan, took, lessons, rumba, rock, cha-cha-cha, ballet, He, worked, choreographer, dance, instructor, In, 2006, appeared, TV3's, defunct, became, immediate, internet, phenomenon, breasts, played, 2010, The, Kanal, Banan, took, Banan, Sverigetopplistan, 1st, Sean, Banan's, film]","Sina Samadi better known by his stage name Sean Banan (Banan means Banana, appears to be a pun of his name) is a Swedish comedian and musician of Iranian origin. His family immigrated to Sweden when he was just 2 years old and resided in Gothenburg. Banan took lessons in rumba, flamenco, rock, cha-cha-cha, ballet and street dance. He then worked as a choreographer and dance instructor. In 2006, he appeared on TV3's now defunct dance programme Floor Filler. He became an immediate internet phenomenon after appearing in an interview in 2007 after answering some questions about his preferences and said he preferred \""rumpa\"" (buttocks) to breasts. \""Rumpa\"" became a catch phrase he would use in many of his future gigs. He played a travelling reporter in the 2010 comedy television show Cirkus Möller that aired on TV4. The same year he took part in the Kanal 5's programme Djävulsrallyt in its third series. His 2010 single \""Skaka Rumpa\"" was released on 16 June 2010 and entered the Swedish Singles Chart at No. 13 in its first week, topping at No. 8 the following week. Banan took part in Melodifestivalen 2012 with \""Sean den förste Banan\"" that passed the Semi-final stage, but was eliminated in the \""Second Chance\"" round without reaching the finals. But despite this, the song proved very popular reaching number 3 on Sverigetopplistan, the official Swedish Singles Chart. In Melodifestivalen 2013 he took part with \""Copacabanana\"". After performing in the semi-final in Scandinavium, Gothenburg, he came 1st and qualified directly to the final, where he finished in 6th place. Sean Banan's first film Sean Banan inuti Seanfrika was released in 2012 and was panned by critics."
44,"[A, person, 20th, century, known, artist, major, United, States, Europe, individual, United, latter, 20th, century, They, academically, arts, painting, They, taught, color, understand, relationships, color, aspects, visual, Now, retired, individual, Their, equipped, located, populous, city, They, painted, sculptures, play, light, They, exhibitions, galleries, multiple, including, major, art, The, known, type, plastic, commonly, used, art, create, colorful, light-interactive, painted, pieces, An, untitled, piece, 20th, collection, art, museum, demonstrates, painted, works, institutions, galleries, cities, across, Europe, holding, artist]","A person (born in the 20th century), known as an artist, is based in a major city in the United States. Born in Europe, this individual has lived in the United States since their arrival in the latter half of the 20th century. They are an academically trained painter and were a faculty member at a university in the field of arts and design, specializing in painting. They taught theories of color to understand the relationships between color and various aspects of visual perception. Now retired, this individual focuses on their painting practice. Their studio, equipped for their artistic needs, is located in a populous city. They create painted sculptures that play with light. They have had solo exhibitions at galleries in multiple countries, including major art institutions. The artist is known for their work with a type of plastic that is commonly used in art to create colorful, light-interactive painted pieces. An untitled piece from the latter part of the 20th century, in the collection of an art museum, demonstrates the effect of these painted works. Several renowned art institutions and galleries internationally, including in cities across the United States and Europe, are among the public collections holding paintings by this artist."
45,"[A, person, born, 19th, century, architect, American, early, mid-19th, century, This, person, partner, 19th, century, county, England, early, 19th, century, This, person's, included, time, school, town, professional, England, North, America, 19th, century, first, town, Canada, city, significant, notable, west, central, wings, century, They, oversaw, incorporated, second, city, hall, century, This, city, towns, city, city, person, partner, century, city, city, England, century]","A person (born in the 19th century) was an architect who worked in a major North American city from c. the early to mid-19th century. This person was born to a military officer and a partner in the 19th century and moved to a county in England after the early 19th century. This person's education included time at a school in a town and subsequent professional training in England before they emigrated to North America in the early 19th century, living first in a town, Upper Canada, and then in a major city. One of this person's most significant contributions is a notable building, namely the west and central wings during the mid-19th century. They designed and oversaw the construction of the incorporated city's second city hall in the mid-19th century. This person's limited commissions outside of the major city, in other towns, were never as grand as their work in the major city. During their time in the major city, this person married a partner in the mid-19th century, and they left the city shortly after. This person is believed to have died in a city in England in the late 19th century."
47,"[Sunny, Fong, Canadian, In, competition]","Sunny Fong (born 1977) is a Canadian fashion designer who owns VAWK, a clothing brand. He lives in Toronto, Ontario. In 2009, he won the second season of Project Runway Canada. His collection from this competition was showcased at LG Fashion Week. In both 2009 and 2010, Fong began the showings of his collections before the official start of LG Fashion Week, showcasing his work at Walker Court of the Art Gallery of Ontario. His 2011 spring/summer collection combined the themes of bullfighting and safari. Urban culture and Malayan mountaineering were the themes of his 2011 fall/winter collection. This collection was showcased at LG Fashion Week, in contrast to Fong's previous few seasons' off-site showings. At the following year's LG Fashion Week, Fong's spring/summer 2012 collection featured monokinis that critics from The London Free Press called \""even a bit tough for the models to pull off, much less mere mortals.\"" During the final fashion show of that October's LG Fashion Week, Fong had a model appear wearing a gold bullet bra as Madonna's \""Justify My Love\"" played."
48,"[Sir, John, Boyer, Harding, British, civil, Harding, Christ's, Hospital, Guilds, College, 1918-19, cadet, Mowlem, tunnelling, work, Piccadilly, tube, expansion, Central, line, 1930s, Mowlem, introducing, geotechnical, processes, UK, Upon, outbreak, World, War, Harding, placed, charge, defence, emergency, repair, underground, services, London, He, built, concrete, petrol, barges, eight, Mulberry, Harbour, segments, used, Normandy, Landings, He, also, director, Soil, Mechanics, Mowlem, dedicated, work, geotechnics, After, Harding, involved, investigations, feasibility, construction, Channel, Tunnel, sat, tribunal, investigating, Aberfan, disaster, 1966, Harding, Engineers, chairman, British, Tunnelling, fellow, City, Guilds, London, Institute, fellow, Imperial, Fellowship, Engineering, governor, academic, Technical, College, Northampton, Imperial]","Sir Harold John Boyer Harding (6 January 1900 – 27 March 1986) was a British civil engineer. Harding was educated at Christ's Hospital and the City and Guilds College (part of Imperial College London), interrupting his studies 1918-19 with a one-year period spent as a cadet in the Officers' Training Corps. Following graduation Harding worked for Mowlem where he specialised in tunnelling work for London Underground including the reconstruction of Piccadilly Circus tube station and the expansion of the Central line. In the 1930s he and Mowlem were instrumental in introducing geotechnical processes to the UK. Upon the outbreak of the Second World War, Harding was placed in charge of defence and emergency repair of underground services in London. He built pre-cast concrete petrol barges and eight of the Mulberry Harbour segments used in the Normandy Landings. He was also a founding director of Soil Mechanics Ltd, a subsidiary of Mowlem dedicated to work in geotechnics. After the war Harding was involved with investigations into the feasibility of construction of a Channel Tunnel and sat on the tribunal investigating the Aberfan disaster of 1966. Harding was elected president of the Institution of Civil Engineers, was the founding chairman of the British Tunnelling Society, fellow of the City and Guilds of London Institute and fellow of Imperial College. He was also a founder fellow of the Fellowship of Engineering and governor of three separate academic institutions: Westminster Technical College. Northampton Engineering College, and Imperial College. He received a knighthood in 1968."
49,"[An, individual, background, chess, title, This, person, governance, organization, federation, significant, period, event, organizer, chess, different, locales, European, regulations, game, draws, sport's, attractiveness, Their, company, variety, prestigious, chess, contests, Proficient, multiple, languages, individual, received, sports, educational, initiative, garnered, extensive, organization, partnered, global, cultural, entity, This, person, involved, several, debates, including, one, major, chess]","An individual with a background in chess, holding the title of International Master, was associated with a national chess team and collaborated with elite players. This person had a governance role in a chess organization and has been leading a federation for a significant period. As an event organizer, they initiated a series of chess tournaments in different locales, with a final in a well-known European city. They are credited with introducing regulations to reduce early game draws, thus increasing the sport's attractiveness for viewers and partners. Their company has overseen a variety of prestigious chess events, including high-level matches and continental contests. Proficient in multiple languages, this individual received an accolade from a state figure for contributions to sports and education. They advocated for an educational chess initiative, which garnered extensive legislative support. Under their leadership, the chess organization partnered with a global cultural entity, enabling them to host events with its support. This person has been involved in several debates, including one at a major chess competition."
50,"[A, person, person, person, This, person, person, person]","A person, GBE (born on a date in the 19th century – died in the mid-20th century) was a British civil engineer and steel maker. This person was born in a town in Yorkshire. They were the child of parents. In a year in the late 19th century, this person married a partner, the child of a director of a brewery company. Together they had children. This person was a steel maker and in a year in the early 20th century was elected Master Cutler, the head of the Company of Cutlers in a region and ambassador of industry for a city. Their tenure as Master Cutler, a position which usually changes each year, lasted until a year in the early 20th century due to the outbreak of a major conflict. In that year, they were awarded the honorary degree of Doctor of Engineering by a university. This person was elected president of the Institution of Civil Engineers for a session. On a date in the mid-1920s, they were appointed by the Home Secretary to sit on a commission which had been established to enquire into the conditions of mining and drainage in a county borough in South Yorkshire. The commission was a tribunal of inquiry as established by an act and was to establish what effect mining had had on drainage in the area, what the current efficiency of land drainage systems was and how best to manage the issue in the future. At the time of the inquiry, this person was a Knight Grand Cross of the Order of the British Empire, and hence entitled to use the title of ""Sir"". Their partner died in the late 1930s and by the early 1940s they were living in a district in Sheffield. This person died on a date in the mid-20th century."
